input	translation
GSU0083	adenosine deaminase activity
GSU0083	copper ion binding
GSU0083	S-methyl-5-thioadenosine phosphorylase activity
GSU0084	pyridoxal phosphate binding
GSU0084	transaminase activity
GSU0085	"2 iron, 2 sulfur cluster binding"
GSU0085	flavin adenine dinucleotide binding
GSU0085	metal ion binding
GSU0085	oxidoreductase activity
GSU0087	iron-sulfur cluster binding
GSU0087	metal ion binding
GSU0088	iron-sulfur cluster binding
GSU0088	metal ion binding
GSU0089	metal ion binding
GSU0089	oxidoreductase activity
GSU0090	iron-sulfur cluster binding
GSU0090	metal ion binding
GSU0090	oxidoreductase activity
GSU0092	iron-sulfur cluster binding
GSU0092	metal ion binding
GSU0093	ABC-type transporter activity
GSU0093	ATP binding
GSU0093	ATP hydrolysis activity
GSU0093	ATPase-coupled transmembrane transporter activity
GSU0094	ATP binding
GSU0094	ATP hydrolysis activity
GSU0094	DNA binding
GSU0094	DNA-directed DNA polymerase activity
GSU0095	DNA binding
GSU0096	DNA binding
GSU0096	metal ion binding
GSU0097	"4 iron, 4 sulfur cluster binding"
GSU0097	iron ion binding
GSU0097	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GSU0097	thiamine pyrophosphate binding
GSU0098	guanyl-nucleotide exchange factor activity
GSU0098	molecular adaptor activity
GSU0099	GTP binding
GSU0099	GTPase activity
GSU0101	ABC-type transporter activity
GSU0101	ATP binding
GSU0101	ATP hydrolysis activity
GSU0101	ATPase-coupled transmembrane transporter activity
GSU0102	GTP binding
GSU0102	GTPase activity
GSU0102	selenocysteine insertion sequence binding
GSU0102	translation elongation factor activity
GSU0103	phosphorelay response regulator activity
GSU0103	phosphorelay sensor kinase activity
GSU0103	protein kinase activator activity
GSU0105	metal ion binding
GSU0107	DNA binding
GSU0108	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0109	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0110	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0111	ADP binding
GSU0111	ATP binding
GSU0111	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0111	"proton-transporting ATPase activity, rotational mechanism"
GSU0112	ATP binding
GSU0112	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0113	ATP binding
GSU0113	ATP hydrolysis activity
GSU0113	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0113	"proton-transporting ATPase activity, rotational mechanism"
GSU0114	ATP binding
GSU0114	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0115	4-hydroxythreonine-4-phosphate dehydrogenase activity
GSU0115	metal ion binding
GSU0115	NAD binding
GSU0116	pentosyltransferase activity
GSU0117	pyridoxal phosphate binding
GSU0117	transaminase activity
GSU0120	endopeptidase activity
GSU0120	enzyme activator activity
GSU0121	electron transfer activity
GSU0121	heme binding
GSU0121	iron ion binding
GSU0122	ferredoxin hydrogenase activity
GSU0122	nickel cation binding
GSU0123	"3 iron, 4 sulfur cluster binding"
GSU0123	"4 iron, 4 sulfur cluster binding"
GSU0123	electron transfer activity
GSU0123	ferredoxin hydrogenase activity
GSU0123	metal ion binding
GSU0126	iron-sulfur cluster binding
GSU0126	metal ion binding
GSU0127	"4 iron, 4 sulfur cluster binding"
GSU0127	ATP binding
GSU0127	metal ion binding
GSU0127	transferase activity
GSU0127	tRNA binding
GSU0128	3'-5' DNA helicase activity
GSU0128	ATP binding
GSU0128	DNA binding
GSU0128	hydrolase activity
GSU0128	zinc ion binding
GSU0129	metal ion binding
GSU0129	peptide deformylase activity
GSU0130	methionyl-tRNA formyltransferase activity
GSU0134	3'-tRNA processing endoribonuclease activity
GSU0135	porphobilinogen synthase activity
GSU0135	zinc ion binding
GSU0137	cyclic-di-GMP binding
GSU0138	GTP binding
GSU0138	GTPase activity
GSU0138	"translation release factor activity, codon nonspecific"
GSU0138	"translation release factor activity, codon specific"
GSU0140	hydrolase activity
GSU0141	lyase activity
GSU0141	nickel cation binding
GSU0142	phosphatidylglycerophosphatase activity
GSU0144	histidine phosphotransfer kinase activity
GSU0144	phosphorelay sensor kinase activity
GSU0145	ATP binding
GSU0145	ATP hydrolysis activity
GSU0145	ATP-dependent DNA damage sensor activity
GSU0145	damaged DNA binding
GSU0145	single-stranded DNA binding
GSU0146	ATP binding
GSU0148	alanine-tRNA ligase activity
GSU0148	aminoacyl-tRNA editing activity
GSU0148	ATP binding
GSU0148	tRNA binding
GSU0148	zinc ion binding
GSU0149	phosphorelay sensor kinase activity
GSU0150	acetylglutamate kinase activity
GSU0150	ATP binding
GSU0151	identical protein binding
GSU0151	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GSU0151	pyridoxal phosphate binding
GSU0152	amino acid binding
GSU0152	ornithine carbamoyltransferase activity
GSU0153	argininosuccinate synthase activity
GSU0153	ATP binding
GSU0154	hydrolase activity
GSU0156	argininosuccinate lyase activity
GSU0158	diaminopimelate decarboxylase activity
GSU0158	pyridoxal phosphate binding
GSU0159	4-hydroxy-tetrahydrodipicolinate synthase activity
GSU0160	4-hydroxy-tetrahydrodipicolinate reductase
GSU0160	NAD binding
GSU0160	NADP binding
GSU0160	"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor"
GSU0162	"L,L-diaminopimelate aminotransferase activity"
GSU0162	pyridoxal phosphate binding
GSU0164	DNA-binding transcription factor activity
GSU0167	DNA binding
GSU0167	transposase activity
GSU0168	ATP binding
GSU0169	ATP binding
GSU0169	ATP hydrolysis activity
GSU0170	DNA binding
GSU0174	acetate CoA-transferase activity
GSU0174	acetyl-CoA hydrolase activity
GSU0175	DNA-binding transcription factor activity
GSU0175	transcription cis-regulatory region binding
GSU0177	"acyltransferase activity, transferring groups other than amino-acyl groups"
GSU0179	oxidoreductase activity
GSU0181	transferase activity
GSU0183	peptidoglycan binding
GSU0183	"peptidoglycan L,D-transpeptidase activity"
GSU0183	transferase activity
GSU0184	hydrolase activity
GSU0185	transmembrane transporter activity
GSU0189	ATP binding
GSU0189	hydrolase activity
GSU0189	nucleic acid binding
GSU0189	RNA helicase activity
GSU0191	nucleic acid binding
GSU0197	oxidoreductase activity
GSU0200	"2 iron, 2 sulfur cluster binding"
GSU0200	metal ion binding
GSU0200	oxidoreductase activity
GSU0201	oxidoreductase activity
GSU0204	"4 iron, 4 sulfur cluster binding"
GSU0204	catalytic activity
GSU0204	cobalamin binding
GSU0204	metal ion binding
GSU0205	DNA binding
GSU0206	metal ion binding
GSU0206	zinc ion transmembrane transporter activity
GSU0207	nucleic acid binding
GSU0211	transmembrane transporter activity
GSU0212	ATP binding
GSU0212	ATP hydrolysis activity
GSU0213	catalytic activity
GSU0213	iron-sulfur cluster binding
GSU0215	methenyltetrahydrofolate cyclohydrolase activity
GSU0215	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GSU0217	nucleotide binding
GSU0217	oxidoreductase activity
GSU0219	cytochrome-c oxidase activity
GSU0219	heme binding
GSU0219	metal ion binding
GSU0220	cytochrome-c oxidase activity
GSU0222	copper ion binding
GSU0222	cytochrome-c oxidase activity
GSU0222	heme binding
GSU0223	protoheme IX farnesyltransferase activity
GSU0226	lactate transmembrane transporter activity
GSU0226	solute:proton symporter activity
GSU0227	DNA (cytosine-5-)-methyltransferase activity
GSU0228	peptidyl-prolyl cis-trans isomerase activity
GSU0230	ATP binding
GSU0234	high-affinity secondary active nitrite transmembrane transporter activity
GSU0235	mRNA binding
GSU0235	structural constituent of ribosome
GSU0236	protein-disulfide reductase activity
GSU0238	catalytic activity
GSU0238	cobalamin binding
GSU0238	iron-sulfur cluster binding
GSU0238	metal ion binding
GSU0239	fatty acyl-CoA hydrolase activity
GSU0240	[acyl-carrier-protein] S-malonyltransferase activity
GSU0241	catalytic activity
GSU0241	cobalamin binding
GSU0241	iron-sulfur cluster binding
GSU0241	metal ion binding
GSU0242	acyl binding
GSU0242	acyl carrier activity
GSU0243	acyltransferase activity
GSU0244	catalytic activity
GSU0244	iron-sulfur cluster binding
GSU0244	metal ion binding
GSU0246	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GSU0247	"4 iron, 4 sulfur cluster binding"
GSU0247	catalytic activity
GSU0247	cobalamin binding
GSU0247	metal ion binding
GSU0248	catalytic activity
GSU0248	cobalamin binding
GSU0248	iron-sulfur cluster binding
GSU0248	metal ion binding
GSU0252	DNA binding
GSU0252	transposase activity
GSU0253	"4 iron, 4 sulfur cluster binding"
GSU0253	phosphorelay sensor kinase activity
GSU0253	protein dimerization activity
GSU0254	DNA binding
GSU0255	phosphorelay response regulator activity
GSU0255	phosphorelay sensor kinase activity
GSU0255	protein kinase activator activity
GSU0256	metal ion binding
GSU0256	oxygen carrier activity
GSU0257	monooxygenase activity
GSU0257	oxidoreductase activity
GSU0259	FMN binding
GSU0259	"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor"
GSU0261	antiporter activity
GSU0264	transmembrane transporter activity
GSU0264	xenobiotic transmembrane transporter activity
GSU0266	DNA-binding transcription factor activity
GSU0267	DNA binding
GSU0267	DNA-binding transcription factor activity
GSU0270	carbohydrate derivative binding
GSU0270	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GSU0271	glucosamine-1-phosphate N-acetyltransferase activity
GSU0271	magnesium ion binding
GSU0271	UDP-N-acetylglucosamine diphosphorylase activity
GSU0273	catalytic activity
GSU0273	cobalamin binding
GSU0273	iron-sulfur cluster binding
GSU0273	metal ion binding
GSU0274	metal ion binding
GSU0274	oxidoreductase activity
GSU0277	ABC-type transporter activity
GSU0277	ATP binding
GSU0277	ATP hydrolysis activity
GSU0277	ATPase-coupled lipid transmembrane transporter activity
GSU0278	efflux transmembrane transporter activity
GSU0278	porin activity
GSU0279	calcium ion binding
GSU0279	G protein-coupled receptor activity
GSU0280	ATP binding
GSU0280	ATP hydrolysis activity
GSU0280	sequence-specific DNA binding
GSU0281	histidine phosphotransfer kinase activity
GSU0281	phosphorelay sensor kinase activity
GSU0283	phosphorelay sensor kinase activity
GSU0284	zinc ion binding
GSU0285	ATP binding
GSU0285	ATP hydrolysis activity
GSU0285	ATP-dependent DNA damage sensor activity
GSU0285	ATP-dependent peptidase activity
GSU0285	damaged DNA binding
GSU0285	metal ion binding
GSU0285	serine-type endopeptidase activity
GSU0286	oxidoreductase activity
GSU0290	3-oxoacyl-[acyl-carrier-protein] synthase activity
GSU0290	beta-ketoacyl-acyl-carrier-protein synthase III activity
GSU0291	S-adenosylmethionine-dependent methyltransferase activity
GSU0293	phosphorelay response regulator activity
GSU0293	protein-glutamate methylesterase activity
GSU0293	protein-glutamine glutaminase activity
GSU0295	protein-glutamate O-methyltransferase activity
GSU0296	phosphorelay sensor kinase activity
GSU0299	DNA binding
GSU0299	transposase activity
GSU0301	lytic transglycosylase activity
GSU0304	aminopeptidase activity
GSU0304	metallopeptidase activity
GSU0304	zinc ion binding
GSU0305	GTPase activity
GSU0305	nickel cation binding
GSU0305	zinc ion binding
GSU0306	acylphosphatase activity
GSU0306	carboxyl- or carbamoyltransferase activity
GSU0306	double-stranded RNA binding
GSU0306	ligase activity
GSU0306	zinc ion binding
GSU0307	carbon dioxide binding
GSU0307	iron ion binding
GSU0308	"4 iron, 4 sulfur cluster binding"
GSU0308	carbon monoxide binding
GSU0308	iron ion binding
GSU0310	hydrolase activity
GSU0312	cyclic-di-GMP binding
GSU0318	metal ion binding
GSU0318	metalloendopeptidase activity
GSU0327	metal ion binding
GSU0328	ATP binding
GSU0328	ATP hydrolysis activity
GSU0330	peptidase activity
GSU0331	serine-type endopeptidase activity
GSU0332	aminopeptidase activity
GSU0332	manganese ion binding
GSU0332	metalloaminopeptidase activity
GSU0333	lipid binding
GSU0333	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0334	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0337	"glutamate-1-semialdehyde 2,1-aminomutase activity"
GSU0337	pyridoxal phosphate binding
GSU0337	transaminase activity
GSU0338	NADH dehydrogenase (ubiquinone) activity
GSU0338	quinone binding
GSU0339	"4 iron, 4 sulfur cluster binding"
GSU0339	iron ion binding
GSU0339	NADH dehydrogenase (ubiquinone) activity
GSU0339	quinone binding
GSU0340	NADH dehydrogenase (ubiquinone) activity
GSU0340	quinone binding
GSU0341	NAD binding
GSU0341	NADH dehydrogenase (quinone) activity
GSU0341	quinone binding
GSU0342	"2 iron, 2 sulfur cluster binding"
GSU0342	metal ion binding
GSU0342	oxidoreductase activity
GSU0343	"4 iron, 4 sulfur cluster binding"
GSU0343	FMN binding
GSU0343	metal ion binding
GSU0343	NADH dehydrogenase (ubiquinone) activity
GSU0344	"2 iron, 2 sulfur cluster binding"
GSU0344	"4 iron, 4 sulfur cluster binding"
GSU0344	metal ion binding
GSU0344	molybdopterin cofactor binding
GSU0344	oxidoreductase activity
GSU0345	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
GSU0345	quinone binding
GSU0346	"4 iron, 4 sulfur cluster binding"
GSU0346	iron ion binding
GSU0346	NADH dehydrogenase (quinone) activity
GSU0346	quinone binding
GSU0347	NADH dehydrogenase (ubiquinone) activity
GSU0347	quinone binding
GSU0348	NADH dehydrogenase (quinone) activity
GSU0348	quinone binding
GSU0350	NADH dehydrogenase (ubiquinone) activity
GSU0350	ubiquinone binding
GSU0351	NADH dehydrogenase (ubiquinone) activity
GSU0351	quinone binding
GSU0352	thioredoxin peroxidase activity
GSU0356	phosphorelay response regulator activity
GSU0356	phosphorelay sensor kinase activity
GSU0356	protein kinase activator activity
GSU0357	heme binding
GSU0357	metal ion binding
GSU0357	"nitrite reductase (cytochrome, ammonia-forming) activity"
GSU0358	iron-sulfur cluster binding
GSU0358	metal ion binding
GSU0359	ATP binding
GSU0359	ATP hydrolysis activity
GSU0359	sequence-specific DNA binding
GSU0360	calcium ion binding
GSU0360	porin activity
GSU0361	peptidyl-prolyl cis-trans isomerase activity
GSU0363	ATP binding
GSU0363	DNA helicase activity
GSU0363	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
GSU0363	nucleic acid binding
GSU0364	electron transfer activity
GSU0364	heme binding
GSU0364	metal ion binding
GSU0365	electron transfer activity
GSU0365	heme binding
GSU0365	metal ion binding
GSU0366	DNA binding
GSU0367	"4 iron, 4 sulfur cluster binding"
GSU0367	catalytic activity
GSU0367	metal ion binding
GSU0371	glycogen phosphorylase activity
GSU0371	pyridoxal phosphate binding
GSU0372	ATP binding
GSU0372	ATP hydrolysis activity
GSU0372	sequence-specific DNA binding
GSU0373	phosphorelay sensor kinase activity
GSU0374	nickel cation binding
GSU0374	zinc ion binding
GSU0375	aminomethyltransferase activity
GSU0375	transaminase activity
GSU0377	glycine dehydrogenase (decarboxylating) activity
GSU0378	glycine binding
GSU0378	glycine dehydrogenase (decarboxylating) activity
GSU0378	pyridoxal phosphate binding
GSU0379	ligase activity
GSU0380	"4 iron, 4 sulfur cluster binding"
GSU0380	lipoate synthase activity
GSU0380	metal ion binding
GSU0383	peptidyl-prolyl cis-trans isomerase activity
GSU0384	metal ion binding
GSU0384	oxidoreductase activity
GSU0385	protein-containing complex binding
GSU0386	metal ion binding
GSU0386	metallopeptidase activity
GSU0387	undecaprenyl-diphosphatase activity
GSU0389	inorganic phosphate transmembrane transporter activity
GSU0391	efflux transmembrane transporter activity
GSU0391	porin activity
GSU0392	efflux transmembrane transporter activity
GSU0394	xenobiotic transmembrane transporter activity
GSU0397	hydrolase activity
GSU0397	transferase activity
GSU0399	DNA-binding transcription factor activity
GSU0400	transmembrane signaling receptor activity
GSU0402	metal ion binding
GSU0402	oxygen carrier activity
GSU0403	phosphorelay response regulator activity
GSU0403	transcription cis-regulatory region binding
GSU0405	phosphorelay response regulator activity
GSU0405	transcription cis-regulatory region binding
GSU0409	cytoskeletal motor activity
GSU0409	structural molecule activity
GSU0410	cytoskeletal motor activity
GSU0411	cytoskeletal motor activity
GSU0413	ATP binding
GSU0413	ATP hydrolysis activity
GSU0413	"proton-transporting ATP synthase activity, rotational mechanism"
GSU0413	"proton-transporting ATPase activity, rotational mechanism"
GSU0421	cytoskeletal motor activity
GSU0422	cytoskeletal motor activity
GSU0433	ATP binding
GSU0433	ATP hydrolysis activity
GSU0434	ATP binding
GSU0434	CCA tRNA nucleotidyltransferase activity
GSU0434	hydrolase activity
GSU0435	ATP binding
GSU0435	ATP hydrolysis activity
GSU0436	ATP binding
GSU0436	ATP hydrolysis activity
GSU0437	3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
GSU0439	"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GSU0440	carboxy-lyase activity
GSU0440	flavin prenyltransferase activity
GSU0441	"4 iron, 4 sulfur cluster binding"
GSU0441	"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity"
GSU0441	aminodeoxyfutalosine synthase activity
GSU0441	iron ion binding
GSU0442	"4 iron, 4 sulfur cluster binding"
GSU0442	"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity"
GSU0442	iron ion binding
GSU0442	"oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond"
GSU0442	"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GSU0443	3'-5' exonuclease activity
GSU0443	nucleic acid binding
GSU0443	nucleotide binding
GSU0446	rRNA (uridine-N3-)-methyltransferase activity
GSU0447	histone methyltransferase activity
GSU0447	protein methyltransferase activity
GSU0447	S-adenosylmethionine-dependent methyltransferase activity
GSU0448	dipeptidase activity
GSU0450	ADP binding
GSU0450	ATP binding
GSU0450	"phosphotransferase activity, phosphate group as acceptor"
GSU0450	protein serine/threonine kinase activity
GSU0451	phosphorelay response regulator activity
GSU0451	transcription cis-regulatory region binding
GSU0452	phosphorelay sensor kinase activity
GSU0453	adenosylhomocysteine nucleosidase activity
GSU0453	methylthioadenosine nucleosidase activity
GSU0454	carbon-carbon lyase activity
GSU0455	lytic endotransglycosylase activity
GSU0459	3-oxoacyl-[acyl-carrier-protein] synthase activity
GSU0460	3-oxoacyl-[acyl-carrier-protein] synthase activity
GSU0461	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU0462	metal ion binding
GSU0462	metalloendopeptidase activity
GSU0464	RNA binding
GSU0465	translation elongation factor activity
GSU0466	cytochrome-c peroxidase activity
GSU0466	electron transfer activity
GSU0466	heme binding
GSU0466	metal ion binding
GSU0470	ATP binding
GSU0470	ATP hydrolysis activity
GSU0470	sequence-specific DNA binding
GSU0471	phosphorelay sensor kinase activity
GSU0475	phosphorelay response regulator activity
GSU0475	phosphorelay sensor kinase activity
GSU0475	protein kinase activator activity
GSU0476	protein-arginine omega-N symmetric methyltransferase activity
GSU0477	phosphoglycolate phosphatase activity
GSU0478	metal ion binding
GSU0478	oxidoreductase activity
GSU0479	aspartate ammonia-lyase activity
GSU0480	iron ion binding
GSU0480	iron-sulfur cluster binding
GSU0482	cardiolipin synthase activity
GSU0483	ATP binding
GSU0483	"ligase activity, forming carbon-nitrogen bonds"
GSU0483	zinc ion binding
GSU0484	GTP cyclohydrolase activity
GSU0484	GTP cyclohydrolase I activity
GSU0486	L-serine ammonia-lyase activity
GSU0486	threonine deaminase activity
GSU0486	pyridoxal phosphate binding
GSU0487	zinc ion transmembrane transporter activity
GSU0488	thioredoxin-disulfide reductase (NADP) activity
GSU0489	ATP binding
GSU0489	ATP hydrolysis activity
GSU0489	DNA binding
GSU0490	acetate CoA-transferase activity
GSU0490	acetyl-CoA hydrolase activity
GSU0491	ATP binding
GSU0491	hydrolase activity
GSU0491	nucleic acid binding
GSU0491	RNA helicase activity
GSU0492	DNA binding
GSU0492	tyrosine-based site-specific recombinase activity
GSU0493	NADH dehydrogenase activity
GSU0494	iron-sulfur cluster binding
GSU0494	metal ion binding
GSU0496	transmembrane transporter activity
GSU0500	GTP binding
GSU0500	GTPase activity
GSU0500	ribosome binding
GSU0500	rRNA binding
GSU0500	tRNA binding
GSU0503	fluoride channel activity
GSU0503	fluoride transmembrane transporter activity
GSU0503	metal ion binding
GSU0507	acyl-phosphate glycerol-3-phosphate acyltransferase activity
GSU0508	lytic endotransglycosylase activity
GSU0509	"2 iron, 2 sulfur cluster binding"
GSU0509	"4 iron, 4 sulfur cluster binding"
GSU0509	metal ion binding
GSU0509	molybdopterin cofactor binding
GSU0509	NADH dehydrogenase (ubiquinone) activity
GSU0509	"oxidoreductase activity, acting on NAD(P)H"
GSU0510	"4 iron, 4 sulfur cluster binding"
GSU0510	metal ion binding
GSU0510	oxidoreductase activity
GSU0511	aminopeptidase activity
GSU0513	ATP binding
GSU0513	dephospho-CoA kinase activity
GSU0514	DNA binding
GSU0514	DNA-binding transcription factor activity
GSU0516	endonuclease activity
GSU0517	[protein-PII] uridylyltransferase activity
GSU0518	transmembrane transporter activity
GSU0520	pseudouridine synthase activity
GSU0520	RNA binding
GSU0520	tRNA pseudouridine synthase activity
GSU0521	tRNA (guanine(46)-N7)-methyltransferase activity
GSU0522	ATP binding
GSU0522	hydrolase activity
GSU0522	nucleic acid binding
GSU0522	RNA helicase activity
GSU0523	4-amino-4-deoxychorismate synthase activity
GSU0524	catalytic activity
GSU0525	D-tyrosyl-tRNA(Tyr) deacylase activity
GSU0525	Gly-tRNA(Ala) hydrolase activity
GSU0525	Ser(Gly)-tRNA(Ala) hydrolase activity
GSU0525	tRNA binding
GSU0526	O-acetyl-ADP-ribose deacetylase activity
GSU0527	metal ion binding
GSU0527	monoatomic cation transmembrane transporter activity
GSU0527	nucleotide binding
GSU0528	iron-sulfur cluster binding
GSU0528	metal ion binding
GSU0528	oxidoreductase activity
GSU0529	deoxyribonuclease IV (phage-T4-induced) activity
GSU0529	DNA binding
GSU0529	DNA-(apurinic or apyrimidinic site) endonuclease activity
GSU0529	phosphoric diester hydrolase activity
GSU0529	zinc ion binding
GSU0530	hydrolase activity
GSU0531	diaminopimelate epimerase activity
GSU0534	DNA-binding transcription factor activity
GSU0535	cysteine synthase activity
GSU0535	L-cysteine desulfhydrase activity
GSU0536	sulfurtransferase activity
GSU0541	3'-5' exonuclease activity
GSU0541	DNA binding
GSU0541	DNA-directed DNA polymerase activity
GSU0542	diguanylate cyclase activity
GSU0544	O-methyltransferase activity
GSU0544	S-adenosylmethionine-dependent methyltransferase activity
GSU0546	hydrolase activity
GSU0546	translation release factor activity
GSU0547	ATP binding
GSU0547	ATP hydrolysis activity
GSU0547	ATP-dependent DNA damage sensor activity
GSU0547	double-stranded DNA binding
GSU0547	endonuclease activity
GSU0547	mismatched DNA binding
GSU0548	catalytic activity
GSU0548	cobalamin binding
GSU0548	iron-sulfur cluster binding
GSU0548	metal ion binding
GSU0549	S-adenosylmethionine-dependent methyltransferase activity
GSU0552	RNA-directed DNA polymerase activity
GSU0556	nucleic acid binding
GSU0559	DNA binding
GSU0559	transposase activity
GSU0562	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GSU0566	electron transfer activity
GSU0567	DNA-3-methyladenine glycosylase activity
GSU0567	metal ion binding
GSU0569	hydrolase activity
GSU0570	S-adenosylmethionine-dependent methyltransferase activity
GSU0571	dihydrofolate reductase activity
GSU0571	NADP binding
GSU0572	hydrolase activity
GSU0573	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU0578	ATP binding
GSU0578	glycine-tRNA ligase activity
GSU0579	arginine-tRNA ligase activity
GSU0579	ATP binding
GSU0579	glycine-tRNA ligase activity
GSU0580	ATP binding
GSU0580	kinase activity
GSU0580	metal ion binding
GSU0580	"pyruvate, phosphate dikinase activity"
GSU0581	nucleic acid binding
GSU0582	metal ion binding
GSU0583	transmembrane signaling receptor activity
GSU0585	acetylpyruvate hydrolase activity
GSU0586	"4 iron, 4 sulfur cluster binding"
GSU0586	catalytic activity
GSU0586	metal ion binding
GSU0587	magnesium ion binding
GSU0587	thiamine-phosphate diphosphorylase activity
GSU0588	thiazole synthase activity
GSU0593	electron transfer activity
GSU0593	heme binding
GSU0593	iron ion binding
GSU0594	oxidoreductase activity
GSU0598	ATP binding
GSU0598	ATP hydrolysis activity
GSU0598	sequence-specific DNA binding
GSU0599	phosphorelay sensor kinase activity
